testName,cluster,baseline
02cd_multisort16,thor,13.883500
02da_groupsort_local,roxie,7.714000
02da_groupsort_local,thor,6.031000
02db_groupsort_tiny,roxie,12.799500
02db_groupsort_tiny,thor,28.595000
02dc_groupsort_24816-algo('heapsort'),roxie,19.600000
02dc_groupsort_24816-algo('heapsort'),thor,56.381000
02dc_groupsort_24816-algo('mergesort'),roxie,27.697000
02dc_groupsort_24816-algo('mergesort'),thor,56.722000
02dc_groupsort_24816-algo('quicksort'),roxie,28.606000
02dc_groupsort_24816-algo('quicksort'),thor,56.644500
02dd_groupsort_parallel-algo('heapsort'),roxie,15.635000
02dd_groupsort_parallel-algo('heapsort'),thor,11.261500
02dd_groupsort_parallel-algo('mergesort'),roxie,13.884000
02dd_groupsort_parallel-algo('mergesort'),thor,11.223000
02dd_groupsort_parallel-algo('quicksort'),roxie,13.974000
02dd_groupsort_parallel-algo('quicksort'),thor,11.356000
02de_groupsort_parallel2,roxie,13.087500
02de_groupsort_parallel2,thor,11.751500
02ea_smallsorts-algo('heapsort'),roxie,54.784000
02ea_smallsorts-algo('mergesort'),roxie,45.625000
02ea_smallsorts-algo('parmergesort'),roxie,36.007500
02ea_smallsorts-algo('parmergesort'),thor,32.437000
02ea_smallsorts-algo('parquicksort'),roxie,58.673000
02ea_smallsorts-algo('parquicksort'),thor,32.478500
02ea_smallsorts-algo('quicksort'),roxie,49.135500
02eb_smallsorts2-algo('mergesort')-numrows(1000),roxie,0.388500
02eb_smallsorts2-algo('mergesort')-numrows(10000),roxie,4.494500
02eb_smallsorts2-algo('mergesort')-numrows(2000),roxie,0.799500
02eb_smallsorts2-algo('mergesort')-numrows(4000),roxie,1.673500
02eb_smallsorts2-algo('mergesort')-numrows(6000),roxie,2.621500
02eb_smallsorts2-algo('parmergesort')-numrows(1000),roxie,0.384000
02eb_smallsorts2-algo('parmergesort')-numrows(1000),thor,0.468500
02eb_smallsorts2-algo('parmergesort')-numrows(10000),roxie,3.514500
02eb_smallsorts2-algo('parmergesort')-numrows(10000),thor,3.261000
02eb_smallsorts2-algo('parmergesort')-numrows(2000),roxie,0.799000
02eb_smallsorts2-algo('parmergesort')-numrows(2000),thor,0.858500
02eb_smallsorts2-algo('parmergesort')-numrows(4000),roxie,1.553500
02eb_smallsorts2-algo('parmergesort')-numrows(4000),thor,1.556500
02eb_smallsorts2-algo('parmergesort')-numrows(6000),roxie,2.246000
02eb_smallsorts2-algo('parmergesort')-numrows(6000),thor,2.163500
02eb_smallsorts2-algo('parquicksort')-numrows(2000),roxie,2.674000
02eb_smallsorts2-algo('quicksort')-numrows(2000),roxie,0.875500
03aa_diskdistribute,roxie,4.294500
03aa_diskdistribute,thor,9.234000
03ba_distribute,thor,9.343500
03bb_distribute,roxie,3.936000
03bb_distribute,thor,6.493500
03bc_distribute,roxie,4.238500
03bc_distribute,thor,11.231000
03bd_distribute,roxie,3.934000
03bd_distribute,thor,11.331500
03be_distributevariable,thor,8.243000
03bf_distributelarge,thor,9.696000
03bg_distributevlarge,thor,35.745000
03ca_multidistribute4,roxie,20.742500
03ca_multidistribute4,thor,9.514000
03cb_multidistribute16,roxie,19.906000
03cb_multidistribute16,thor,9.218000
03da_mergedistribute,roxie,26.309000
03da_mergedistribute,thor,21.151000
04aa_join1,roxie,20.128000
04aa_join1,thor,29.369000
04ab_join1u,roxie,20.051500
04ab_join1u,thor,150.167500
04ac_join1p,roxie,20.155500
04ac_join1p,thor,193.940000
04ad_join1l,roxie,24.232500
04ad_join1l,thor,17.074500
04ae_join1h,roxie,24.040500
04ae_join1h,thor,36.940500
04af_join1s,roxie,23.966500
04af_join1s,thor,194.290500
04ag_join1presort,roxie,19.943500
04ag_join1presort,thor,29.168000
04ba_join4,roxie,19.348500
04ba_join4,thor,15.258000
04bb_join4u,roxie,19.329000
04bb_join4u,thor,21.008500
04bc_join4p,roxie,19.426500
04bc_join4p,thor,26.453500
04ca_join64,roxie,2.537000
04ca_join64,thor,3.367000
04cb_join64u,roxie,2.535000
04cb_join64u,thor,3.190500
04cc_join64p,roxie,2.535500
04cc_join64p,thor,7.832500
04cd_join64l,roxie,2.296500
04cd_join64l,thor,3.462500
04ce_join64h,roxie,2.287000
04ce_join64h,thor,3.446000
04cf_join64s,roxie,2.292000
04cf_join64s,thor,3.263500
04da_join4k,roxie,2.062000
04da_join4k,thor,3.872500
04db_join4ku,roxie,2.062000
04db_join4ku,thor,5.589500
04dc_join4kp,roxie,2.062000
04dc_join4kp,thor,13.594500
04dd_join4kl,roxie,2.050500
04dd_join4kl,thor,2.454500
04ea_joinl1,roxie,20.052500
04ea_joinl1,thor,25.718000
04eb_joinl1u,roxie,20.063000
04eb_joinl1u,thor,145.420500
04ec_joinl1p,roxie,20.377000
04ec_joinl1p,thor,190.328000
04ee_joinl1h,roxie,23.886500
04ee_joinl1h,thor,26.107500
04ef_joinl1s,roxie,23.911000
04ef_joinl1s,thor,135.199000
04fa_joinl64,roxie,2.535000
04fa_joinl64,thor,2.983000
04fb_joinl64u,roxie,2.535000
04fb_joinl64u,thor,2.998000
04ga_join16wk-hintprojectwork(0),roxie,6.414000
04ga_join16wk-hintprojectwork(0),thor,5.154000
04ga_join16wk-hintprojectwork(16),roxie,10.881500
04ga_join16wk-hintprojectwork(16),thor,9.974500
04ga_join16wk-hintprojectwork(256),roxie,84.580000
04ga_join16wk-hintprojectwork(256),thor,84.063000
04ga_join16wk-hintprojectwork(4),roxie,7.196000
04ga_join16wk-hintprojectwork(4),thor,6.174000
04ga_join16wk-hintprojectwork(64),roxie,25.791500
04ga_join16wk-hintprojectwork(64),thor,24.671500
04gb_join16wku-hintprojectwork(0),thor,4.950500
04gb_join16wku-hintprojectwork(16),thor,5.986500
04gb_join16wku-hintprojectwork(256),thor,25.144500
04gb_join16wku-hintprojectwork(4),thor,5.203000
04gb_join16wku-hintprojectwork(64),thor,9.554500
04gc_join16wkp-hintprojectwork(0),thor,4.823000
04gc_join16wkp-hintprojectwork(16),thor,6.173500
04gc_join16wkp-hintprojectwork(256),thor,28.899000
04gc_join16wkp-hintprojectwork(4),thor,4.952500
04gc_join16wkp-hintprojectwork(64),thor,10.893500
05aa_summary64,roxie,20.821500
05aa_summary64,thor,14.410500
05ab_summary1m,roxie,30.089000
05ab_summary1m,thor,18.935000
05ac_summaryall,roxie,22.673500
05ac_summaryall,thor,23.244000
05ba_summary64hash,roxie,3.273000
05ba_summary64hash,thor,3.479000
05bb_summary1mhash,roxie,10.846000
05bb_summary1mhash,thor,10.212500
05bc_summaryallhash,roxie,27.189500
05bc_summaryallhash,thor,41.306500
05ca_summary64dist,roxie,22.362000
05ca_summary64dist,thor,17.543000
05cb_summary64dist,roxie,32.075500
05cb_summary64dist,thor,21.913500
05cc_summaryalldist,roxie,32.267500
05cc_summaryalldist,thor,26.515000
06aa_dedup64,roxie,12.427000
06aa_dedup64,thor,12.309500
06ab_dedup1m,roxie,18.477500
06ab_dedup1m,thor,16.689000
06ac_dedupall,roxie,19.898500
06ac_dedupall,thor,23.647000
06ba_dedup64hash,roxie,5.441000
06ba_dedup64hash,thor,6.563500
06bb_dedup1mhash,roxie,11.053000
06bb_dedup1mhash,thor,18.484500
06bc_dedupallhash,roxie,21.225000
06bc_dedupallhash,thor,73.578500
06ca_dedup64dist,roxie,12.558000
06ca_dedup64dist,thor,16.978500
06cb_dedup64dist,roxie,18.449500
06cb_dedup64dist,thor,21.378500
06cc_dedupalldist,roxie,19.860500
06cc_dedupalldist,thor,20.928500
07aa_keyedjoin123,roxie,0.355500
07aa_keyedjoin123,thor,12.186000
07ba_keyedjoin321a,roxie,15.567000
07ba_keyedjoin321a,thor,9.717000
07ca_keyedjoinlimit_no,roxie,8.861500
07ca_keyedjoinlimit_no,thor,23.524500
07cb_keyedjoinlimit_no2,roxie,0.513000
07cb_keyedjoinlimit_no2,thor,1.479500
07cc_keyedjoinlimit_no3,roxie,8.403500
07cc_keyedjoinlimit_no3,thor,13.950500
07da_keyedjoinlimit_hit,roxie,0.487500
07da_keyedjoinlimit_hit,thor,1.419500
07dc_keyedjoinlimit_hit3,roxie,0.335000
07dc_keyedjoinlimit_hit3,thor,9.940000
07ea_keyedjoinkeylimit_hit,roxie,0.493500
07ea_keyedjoinkeylimit_hit,thor,1.421500
07ec_keyedjoinkeylimit_hit3,roxie,0.333000
07ec_keyedjoinkeylimit_hit3,thor,9.813500
07fa_keyedjoinonfaillimit_hit,roxie,1.343500
07fa_keyedjoinonfaillimit_hit,thor,1.645500
07fc_keyedjoinfaillimit_hit3,roxie,1.254000
07fc_keyedjoinfaillimit_hit3,thor,9.971000
08aa_keyedread123,roxie,5.715000
08aa_keyedread123,thor,6.916000
08ab_keyedread321,roxie,9.461000
08ab_keyedread321,thor,10.743000
08ba_keyedpread123,roxie,6.086000
08ba_keyedpread123,thor,7.004500
08bb_keyedpread321,roxie,9.873500
08bb_keyedpread321,thor,10.817000
08ca_skeyedread123,roxie,5.898500
08ca_skeyedread123,thor,7.073500
08cb_skeyedread321,roxie,9.909000
08cb_skeyedread321,thor,10.910000
08cd_skeyedread321,roxie,11.291500
08cd_skeyedread321,thor,12.432000
08da_skeyedread123m,roxie,3.569500
08da_skeyedread123m,thor,3.904000
09aa_indexread123,roxie,0.038000
09aa_indexread123,thor,0.068000
09ab_sindexread123,roxie,9.031000
09ab_sindexread123,thor,0.493500
10aa_childqueryinline,roxie,0.446500
10aa_childqueryinline,thor,0.372500
10ab_childquery,roxie,2.832000
10ab_childquery,thor,96.204000
10ac_childquerydedup,roxie,12.621000
10ac_childquerydedup,thor,110.120000
10ad_childquerysort,roxie,13.593500
10ad_childquerysort,thor,107.589000
10ae_childqueryresult,roxie,9.190000
10ae_childqueryresult,thor,111.430500
10af_childquerydict,roxie,0.232500
10af_childquerydict,thor,6.847500
10ag_childqueryhashagg,roxie,7.342500
10ag_childqueryhashagg,thor,56.322500
11aa_smartjoin_in_gl,thor,10.228500
11ab_smartjoin_in_lo,thor,45.247500
11ac_smartjoin_in_lo2,thor,94.254000
11ba_smartjoin_lo_gl,thor,9.976000
11bb_smartjoin_lo_lo,thor,44.757000
11bc_smartjoin_lo_lo2,thor,92.814000
11ca_smartjoin_inp_gl,thor,10.100000
11cb_smartjoin_inp_lo,thor,45.094000
11cc_smartjoin_inp_lo2,thor,94.674000
11da_localsmartjoin_in_gl,thor,3.750000
11db_localsmartjoin_sort_sp,thor,80.949000
11dc_localsmartjoin_nosort_sp,thor,132.984500
12aa_streamspeed-hintblocksize(512)-hintisordered(false)-hintnumstrands(6)-hintreadwork(0)-hintwritework(16),roxie,22.547000
