testName,cluster,baseline
08ab_keyedread321,thor,34.479200
08ba_keyedpread123,thor,15.431100
08bb_keyedpread321,thor,34.553600
08ca_skeyedread123,thor,15.626000
08cb_skeyedread321,thor,34.508200
08cd_skeyedread321,thor,39.136000
08da_skeyedread123m,thor,8.547800
09aa_indexread123,thor,0.143600
09ab_sindexread123,thor,0.956100
10aa_childqueryinline,thor,0.560300
10ab_childquery,thor,201.666800
10ac_childquerydedup,thor,220.220100
10ad_childquerysort,thor,224.286400
10ae_childqueryresult,thor,223.590100
10af_childquerydict,thor,14.051100
10ag_childqueryhashagg,thor,140.407500
11aa_smartjoin_in_gl,thor,18.628100
11ab_smartjoin_in_lo,thor,79.884000
11ac_smartjoin_in_lo2,thor,188.872900
11ba_smartjoin_lo_gl,thor,18.554200
11bb_smartjoin_lo_lo,thor,79.730900
11bc_smartjoin_lo_lo2,thor,390.000500
11ca_smartjoin_inp_gl,thor,18.569300
11cb_smartjoin_inp_lo,thor,80.226500
11cc_smartjoin_inp_lo2,thor,392.333700
11da_localsmartjoin_in_gl,thor,6.147300
11db_localsmartjoin_sort_sp,thor,119.442400
11dc_localsmartjoin_nosort_sp,thor,141.501700
12aa_streamspeed-hintblocksize(512)-hintisordered(false)-hintnumstrands(6)-hintreadwork(0)-hintwritework(16),thor,66.185400
12aa_streamspeed-hintblocksize(512)-hintisordered(false)-hintnumstrands(6)-hintreadwork(0)-hintwritework(4),thor,33.971700
12aa_streamspeed-hintblocksize(512)-hintisordered(false)-hintnumstrands(6)-hintreadwork(0)-hintwritework(64),thor,189.366900
12aa_streamspeed-hintblocksize(512)-hintisordered(true)-hintnumstrands(1)-hintreadwork(0)-hintwritework(16),thor,66.054900
12aa_streamspeed-hintblocksize(512)-hintisordered(true)-hintnumstrands(1)-hintreadwork(0)-hintwritework(4),thor,33.756300
12aa_streamspeed-hintblocksize(512)-hintisordered(true)-hintnumstrands(1)-hintreadwork(0)-hintwritework(64),thor,189.100300
12aa_streamspeed-hintblocksize(512)-hintisordered(true)-hintnumstrands(6)-hintreadwork(0)-hintwritework(16),thor,66.170100
12aa_streamspeed-hintblocksize(512)-hintisordered(true)-hintnumstrands(6)-hintreadwork(0)-hintwritework(4),thor,33.804600
12aa_streamspeed-hintblocksize(512)-hintisordered(true)-hintnumstrands(6)-hintreadwork(0)-hintwritework(64),thor,189.096100
12ab_unorderedspeed-hintnewhelper(false)-hintreadwork(0)-hintwritework(0),thor,6.608800
12ab_unorderedspeed-hintnewhelper(false)-hintreadwork(0)-hintwritework(1024),thor,321.501500
12ab_unorderedspeed-hintnewhelper(false)-hintreadwork(0)-hintwritework(16),thor,11.392200
12ab_unorderedspeed-hintnewhelper(false)-hintreadwork(0)-hintwritework(256),thor,84.982100
12ab_unorderedspeed-hintnewhelper(false)-hintreadwork(0)-hintwritework(512),thor,163.710500
12ab_unorderedspeed-hintnewhelper(false)-hintreadwork(0)-hintwritework(64),thor,25.956100
12ab_unorderedspeed-hintnewhelper(true)-hintreadwork(0)-hintwritework(0),thor,6.547000
12ab_unorderedspeed-hintnewhelper(true)-hintreadwork(0)-hintwritework(1024),thor,321.434200
12ab_unorderedspeed-hintnewhelper(true)-hintreadwork(0)-hintwritework(16),thor,11.324600
12ab_unorderedspeed-hintnewhelper(true)-hintreadwork(0)-hintwritework(256),thor,84.911600
12ab_unorderedspeed-hintnewhelper(true)-hintreadwork(0)-hintwritework(512),thor,163.672100
12ab_unorderedspeed-hintnewhelper(true)-hintreadwork(0)-hintwritework(64),thor,25.893700
12ac_parallelproject-hintisordered(false)-hintnumstrands(1)-hintparallelcount(false)-hintparallelsource(false)-hintprojectwork(0),thor,10.075000
12ac_parallelproject-hintisordered(false)-hintnumstrands(1)-hintparallelcount(false)-hintparallelsource(false)-hintprojectwork(16),thor,20.204400
12ac_parallelproject-hintisordered(false)-hintnumstrands(1)-hintparallelcount(false)-hintparallelsource(false)-hintprojectwork(256),thor,174.743500
12ac_parallelproject-hintisordered(false)-hintnumstrands(1)-hintparallelcount(false)-hintparallelsource(false)-hintprojectwork(4),thor,12.372500
12ac_parallelproject-hintisordered(false)-hintnumstrands(1)-hintparallelcount(false)-hintparallelsource(false)-hintprojectwork(64),thor,51.084500
12ac_parallelproject-hintisordered(false)-hintnumstrands(8)-hintparallelcount(false)-hintparallelsource(false)-hintprojectwork(16),thor,19.273100
12ac_parallelproject-hintisordered(false)-hintnumstrands(8)-hintparallelcount(false)-hintparallelsource(true)-hintprojectwork(16),thor,19.169100
12ac_parallelproject-hintisordered(false)-hintnumstrands(8)-hintparallelcount(true)-hintparallelsource(false)-hintprojectwork(16),thor,19.206200
